dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
88759,1124,92365,26 September 2020,2020-09-26,5990589,93950,4938680
82770,1040,74691,27 September 2020,2020-09-27,6073359,94990,5013371
69669,775,85198,28 September 2020,2020-09-28,6143028,95765,5098569
80500,1178,86150,29 September 2020,2020-09-29,6223528,96943,5184719
86748,1179,85274,30 September 2020,2020-09-30,6310276,98122,5269993
81784,1099,78731,1 October 2020,2020-10-01,6392060,99221,5348724
79883,1068,76339,2 October 2020,2020-10-02,6471943,100289,5425063
75479,937,81655,3 October 2020,2020-10-03,6547422,101226,5506718
74770,903,76713,4 October 2020,2020-10-04,6622192,102129,5583431
60130,886,75855,5 October 2020,2020-10-05,6682322,103015,5659286
71869,990,81945,6 October 2020,2020-10-06,6754191,104005,5741231
78809,963,83209,7 October 2020,2020-10-07,6833000,104968,5824440
70797,967,78745,8 October 2020,2020-10-08,6903797,105935,5903185
73305,929,82628,9 October 2020,2020-10-09,6977102,106864,5985813
74418,921,89024,10 October 2020,2020-10-10,7051520,107785,6074837
67789,813,71565,11 October 2020,2020-10-11,7119309,108598,6146402
54262,710,78365,12 October 2020,2020-10-12,7173571,109308,6224767
63717,727,74079,13 October 2020,2020-10-13,7237288,110035,6298846
67811,690,81582,14 October 2020,2020-10-14,7305099,110725,6380428
63441,882,70792,15 October 2020,2020-10-15,7368540,111607,6451220
62304,840,70568,16 October 2020,2020-10-16,7430844,112447,6521788
61893,1032,72583,17 October 2020,2020-10-17,7492737,113479,6594371
56519,582,66418,18 October 2020,2020-10-18,7549256,114061,6660789
45506,589,69800,19 October 2020,2020-10-19,7594762,114650,6730589
54348,714,61828,20 October 2020,2020-10-20,7649110,115364,6792417
56264,701,79561,21 October 2020,2020-10-21,7705374,116065,6871978
54371,686,74569,22 October 2020,2020-10-22,7759745,116751,6946547
53931,655,66994,23 October 2020,2020-10-23,7813676,117406,7013541
50366,578,62270,24 October 2020,2020-10-24,7864042,117984,7075811
45922,483,59304,25 October 2020,2020-10-25,7909964,118467,7135115
36019,485,63734,26 October 2020,2020-10-26,7945983,118952,7198849
43036,511,58429,27 October 2020,2020-10-27,7989019,119463,7257278
50188,515,56594,28 October 2020,2020-10-28,8039207,119978,7313872
48765,562,57867,29 October 2020,2020-10-29,8087972,120540,7371739
48117,550,59005,30 October 2020,2020-10-30,8136089,121090,7430744
47228,469,58682,31 October 2020,2020-10-31,8183317,121559,7489426
45928,491,53312,1 November 2020,2020-11-01,8229245,122050,7542738
37592,498,58524,2 November 2020,2020-11-02,8266837,122548,7601262
46027,510,53328,3 November 2020,2020-11-03,8312864,123058,7654590
50465,707,55873,4 November 2020,2020-11-04,8363329,123765,7710463
47628,672,54133,5 November 2020,2020-11-05,8410957,124437,7764596
50017,577,53946,6 November 2020,2020-11-06,8460974,125014,7818542
46153,557,48582,7 November 2020,2020-11-07,8507127,125571,7867124
46707,491,48465,8 November 2020,2020-11-08,8553834,126062,7915589
37119,450,41449,9 November 2020,2020-11-09,8590953,126512,7957038
44724,511,54639,10 November 2020,2020-11-10,8635677,127023,8011677
48285,550,52704,11 November 2020,2020-11-11,8683962,127573,8064381
44585,544,49354,12 November 2020,2020-11-12,8728547,128117,8113735
44620,517,47620,13 November 2020,2020-11-13,8773167,128634,8161355
41692,450,42317,14 November 2020,2020-11-14,8814859,129084,8203672
30681,434,44111,15 November 2020,2020-11-15,8845540,129518,8247783
28609,451,40392,16 November 2020,2020-11-16,8874149,129969,8288175
38548,472,44753,17 November 2020,2020-11-17,8912697,130441,8332928
45366,586,48675,18 November 2020,2020-11-18,8958063,131027,8381603
46185,582,45246,19 November 2020,2020-11-19,9004248,131609,8426849
46283,564,48968,20 November 2020,2020-11-20,9050531,132173,8475817
45301,499,44055,21 November 2020,2020-11-21,9095832,132672,8519872
44404,510,41405,22 November 2020,2020-11-22,9140236,133182,8561277
37441,481,42195,23 November 2020,2020-11-23,9177677,133663,8603472
44245,489,37765,24 November 2020,2020-11-24,9221922,134152,8641237
44699,518,36582,25 November 2020,2020-11-25,9266621,134670,8677819
43174,491,39723,26 November 2020,2020-11-26,9309795,135161,8717542
41353,486,41177,27 November 2020,2020-11-27,9351148,135647,8758719
41815,495,42275,28 November 2020,2020-11-28,9392963,136142,8800994
39036,444,45152,29 November 2020,2020-11-29,9431999,136586,8846146
31179,482,42282,30 November 2020,2020-11-30,9463178,137068,8888428
36474,501,43208,1 December 2020,2020-12-01,9499652,137569,8931636
35506,526,40908,2 December 2020,2020-12-02,9535158,138095,8972544
36574,541,42991,3 December 2020,2020-12-03,9571732,138636,9015535
36711,511,42359,4 December 2020,2020-12-04,9608443,139147,9057894
36010,482,41885,5 December 2020,2020-12-05,9644453,139629,9099779
33178,390,39078,6 December 2020,2020-12-06,9677631,140019,9138857
26227,386,39293,7 December 2020,2020-12-07,9703858,140405,9178150
32083,402,36583,8 December 2020,2020-12-08,9735941,140807,9214733
31637,413,37693,9 December 2020,2020-12-09,9767578,141220,9252426
29411,411,37707,10 December 2020,2020-12-10,9796989,141631,9290133
29961,442,33492,11 December 2020,2020-12-11,9826950,142073,9323625
30354,391,33087,12 December 2020,2020-12-12,9857304,142464,9356712
27336,338,30640,13 December 2020,2020-12-13,9884640,142802,9387352
21941,354,34421,14 December 2020,2020-12-14,9906581,143156,9421773
26251,384,33853,15 December 2020,2020-12-15,9932832,143540,9455626
18172,356,33360,16 December 2020,2020-12-16,9951004,143896,9488986
26754,342,30891,17 December 2020,2020-12-17,9977758,144238,9519877
26991,342,29879,18 December 2020,2020-12-18,10004749,144580,9549756
26834,342,29758,19 December 2020,2020-12-19,10031583,144922,9579514
24622,332,25734,20 December 2020,2020-12-20,10056205,145254,9605248
19147,302,30250,21 December 2020,2020-12-21,10075352,145556,9635498
23880,329,27032,22 December 2020,2020-12-22,10099232,145885,9662530
24716,315,29946,23 December 2020,2020-12-23,10123948,146200,9692476
23444,337,24555,24 December 2020,2020-12-24,10147392,146537,9717031
22349,251,22184,25 December 2020,2020-12-25,10169741,146788,9739215
18575,280,21466,26 December 2020,2020-12-26,10188316,147068,9760681
20333,281,21097,27 December 2020,2020-12-27,10208649,147349,9781778
16072,250,24822,28 December 2020,2020-12-28,10224721,147599,9806600
20542,285,26589,29 December 2020,2020-12-29,10245263,147884,9833189
21945,299,26407,30 December 2020,2020-12-30,10267208,148183,9859596
19026,244,21969,31 December 2020,2020-12-31,10286234,148427,9881565
20159,237,23838,1 January 2021,2021-01-01,10306393,148664,9905403
18144,216,20903,2 January 2021,2021-01-02,10324537,148880,9926306
16678,215,19658,3 January 2021,2021-01-03,10341215,149095,9945964
16278,200,29209,4 January 2021,2021-01-04,10357493,149295,9975173
17909,265,21161,5 January 2021,2021-01-05,10375402,149560,9996334
20472,222,19689,6 January 2021,2021-01-06,10395874,149782,10016023
18123,233,20503,7 January 2021,2021-01-07,10413997,150015,10036526
18453,229,19242,8 January 2021,2021-01-08,10432450,150244,10055768
18820,213,19460,9 January 2021,2021-01-09,10451270,150457,10075228
16086,150,16737,10 January 2021,2021-01-10,10467356,150607,10091965
12481,166,18578,11 January 2021,2021-01-11,10479837,150773,10110543
15903,200,17762,12 January 2021,2021-01-12,10495740,150973,10128305
17015,201,17797,13 January 2021,2021-01-13,10512755,151174,10146102
15677,189,15943,14 January 2021,2021-01-14,10528432,151363,10162045
15155,176,16809,15 January 2021,2021-01-15,10543587,151539,10178854
15050,181,17202,16 January 2021,2021-01-16,10558637,151720,10196056
13962,145,14513,17 January 2021,2021-01-17,10572599,151865,10210569
9987,137,17127,18 January 2021,2021-01-18,10582586,152002,10227696
13787,162,17229,19 January 2021,2021-01-19,10596373,152164,10244925
15279,152,20071,20 January 2021,2021-01-20,10611652,152316,10264996
14495,161,17734,21 January 2021,2021-01-21,10626147,152477,10282730
14323,153,17166,22 January 2021,2021-01-22,10640470,152630,10299896
14896,156,16033,23 January 2021,2021-01-23,10655366,152786,10315929
13232,131,13148,24 January 2021,2021-01-24,10668598,152917,10329077
9098,116,16092,25 January 2021,2021-01-25,10677696,153033,10345169
12733,138,13250,26 January 2021,2021-01-26,10690429,153171,10358419
11556,123,14261,27 January 2021,2021-01-27,10701985,153294,10372680
18912,162,20315,28 January 2021,2021-01-28,10720897,153456,10392995
13054,137,14886,29 January 2021,2021-01-29,10733951,153593,10407881
13073,128,14077,30 January 2021,2021-01-30,10747024,153721,10421958
11527,116,11882,31 January 2021,2021-01-31,10758551,153837,10433840
8579,94,13443,1 February 2021,2021-02-01,10767130,153931,10447283
11001,113,14250,2 February 2021,2021-02-02,10778131,154044,10461533
12925,107,17813,3 February 2021,2021-02-03,10791056,154151,10479346
12401,120,15788,4 February 2021,2021-02-04,10803457,154271,10495134
11711,95,14512,5 February 2021,2021-02-05,10815168,154366,10509646
12069,75,11761,6 February 2021,2021-02-06,10827237,154441,10521407
11786,86,11756,7 February 2021,2021-02-07,10839023,154527,10533163
8715,78,13600,8 February 2021,2021-02-08,10847738,154605,10546763
10731,94,12928,9 February 2021,2021-02-09,10858469,154699,10559691
12539,110,11796,10 February 2021,2021-02-10,10871008,154809,10571487
9353,85,15722,11 February 2021,2021-02-11,10880361,154894,10587209
12137,104,11358,12 February 2021,2021-02-12,10892498,154998,10598567
12198,89,11107,13 February 2021,2021-02-13,10904696,155087,10609674
11706,91,9500,14 February 2021,2021-02-14,10916402,155178,10619174
9086,82,11793,15 February 2021,2021-02-15,10925488,155260,10630967
11592,99,11836,16 February 2021,2021-02-16,10937080,155359,10642803
12862,100,12028,17 February 2021,2021-02-17,10949942,155459,10654831
13237,100,10914,18 February 2021,2021-02-18,10963179,155559,10665745
13916,100,10214,19 February 2021,2021-02-19,10977095,155659,10675959
13919,89,11413,20 February 2021,2021-02-20,10991014,155748,10687372
14278,83,9715,21 February 2021,2021-02-21,11005292,155831,10697087
10494,76,13233,22 February 2021,2021-02-22,11015786,155907,10710320
13682,103,13969,23 February 2021,2021-02-23,11029468,156010,10724289
16930,141,12100,24 February 2021,2021-02-24,11046398,156151,10736389
16599,119,12222,25 February 2021,2021-02-25,11062997,156270,10748611
16562,114,12790,26 February 2021,2021-02-26,11079559,156384,10761401
16805,111,11709,27 February 2021,2021-02-27,11096364,156495,10773110
15614,108,11291,28 February 2021,2021-02-28,11111978,156603,10784401
12270,92,12472,1 March 2021,2021-03-01,11124248,156695,10796873
14998,98,13113,2 March 2021,2021-03-02,11139246,156793,10809986
17425,87,14071,3 March 2021,2021-03-03,11156671,156880,10824057
16824,113,13788,4 March 2021,2021-03-04,11173495,156993,10837845
18324,109,14186,5 March 2021,2021-03-05,11191819,157102,10852031
18724,100,14379,6 March 2021,2021-03-06,11210543,157202,10866410
18650,97,14303,7 March 2021,2021-03-07,11229193,157299,10880713
15353,76,16606,8 March 2021,2021-03-08,11244546,157375,10897319
17873,133,20643,9 March 2021,2021-03-09,11262419,157508,10917962
22851,125,18154,10 March 2021,2021-03-10,11285270,157633,10936116
23298,119,15092,11 March 2021,2021-03-11,11308568,157752,10951208
24845,140,19972,12 March 2021,2021-03-12,11333413,157892,10971180
25154,159,16508,13 March 2021,2021-03-13,11358567,158051,10987688
26513,120,17590,14 March 2021,2021-03-14,11385080,158171,11005278
24437,130,20186,15 March 2021,2021-03-15,11409517,158301,11025464
28869,187,17746,16 March 2021,2021-03-16,11438386,158488,11043210
35838,171,17793,17 March 2021,2021-03-17,11474224,158659,11061003
39687,156,20356,18 March 2021,2021-03-18,11513911,158815,11081359
40906,188,23623,19 March 2021,2021-03-19,11554817,159003,11104982
43815,196,22971,20 March 2021,2021-03-20,11598632,159199,11127953
47009,213,21205,21 March 2021,2021-03-21,11645641,159412,11149158
40636,197,29779,22 March 2021,2021-03-22,11686277,159609,11178937
47239,277,23913,23 March 2021,2021-03-23,11733516,159886,11202850
53419,249,26575,24 March 2021,2021-03-24,11786935,160135,11229425
59083,257,32917,25 March 2021,2021-03-25,11846018,160392,11262342
62276,292,30341,26 March 2021,2021-03-26,11908294,160684,11292683
62632,311,28728,27 March 2021,2021-03-27,11970926,160995,11321411
68206,295,32269,28 March 2021,2021-03-28,12039132,161290,11353680
56152,266,36989,29 March 2021,2021-03-29,12095284,161556,11390669
53237,355,41242,30 March 2021,2021-03-30,12148521,161911,11431911
72113,458,40423,31 March 2021,2021-03-31,12220634,162369,11472334
81398,468,50384,1 April 2021,2021-04-01,12302032,162837,11522718
89023,713,44179,2 April 2021,2021-04-02,12391055,163550,11566897
92994,514,60059,3 April 2021,2021-04-03,12484049,164064,11626956
103794,477,52840,4 April 2021,2021-04-04,12587843,164541,11679796
96563,446,50100,5 April 2021,2021-04-05,12684406,164987,11729896
115312,630,59714,6 April 2021,2021-04-06,12799718,165617,11789610
126276,684,59137,7 April 2021,2021-04-07,12925994,166301,11848747
131878,802,61829,8 April 2021,2021-04-08,13057872,167103,11910576
144945,773,77263,9 April 2021,2021-04-09,13202817,167876,11987839
152565,838,90328,10 April 2021,2021-04-10,13355382,168714,12078167
169914,904,75380,11 April 2021,2021-04-11,13525296,169618,12153547
160838,880,96746,12 April 2021,2021-04-12,13686134,170498,12250293
185297,1026,82271,13 April 2021,2021-04-13,13871431,171524,12332564
199584,1038,93425,14 April 2021,2021-04-14,14071015,172562,12425989
216828,1184,117897,15 April 2021,2021-04-15,14287843,173746,12543886
